date,year,quarter,month_number,month_name,year_month,week,day_name,is_weekend
2010-06-02,2010,Q2,6,Jun,2010-06,22,Wed,False
2010-06-03,2010,Q2,6,Jun,2010-06,22,Thu,False
2010-06-04,2010,Q2,6,Jun,2010-06,22,Fri,False
2010-06-05,2010,Q2,6,Jun,2010-06,22,Sat,True
2010-06-06,2010,Q2,6,Jun,2010-06,22,Sun,True
2010-06-07,2010,Q2,6,Jun,2010-06,23,Mon,False
2010-06-08,2010,Q2,6,Jun,2010-06,23,Tue,False
2010-06-09,2010,Q2,6,Jun,2010-06,23,Wed,False
2010-06-10,2010,Q2,6,Jun,2010-06,23,Thu,False
2010-06-11,2010,Q2,6,Jun,2010-06,23,Fri,False
2010-06-12,2010,Q2,6,Jun,2010-06,23,Sat,True
2010-06-13,2010,Q2,6,Jun,2010-06,23,Sun,True
2010-06-14,2010,Q2,6,Jun,2010-06,24,Mon,False
2010-06-15,2010,Q2,6,Jun,2010-06,24,Tue,False
2010-06-16,2010,Q2,6,Jun,2010-06,24,Wed,False
2010-06-17,2010,Q2,6,Jun,2010-06,24,Thu,False
2010-06-18,2010,Q2,6,Jun,2010-06,24,Fri,False
2010-06-19,2010,Q2,6,Jun,2010-06,24,Sat,True
2010-06-20,2010,Q2,6,Jun,2010-06,24,Sun,True
2010-06-21,2010,Q2,6,Jun,2010-06,25,Mon,False
2010-06-22,2010,Q2,6,Jun,2010-06,25,Tue,False
2010-06-23,2010,Q2,6,Jun,2010-06,25,Wed,False
2010-06-24,2010,Q2,6,Jun,2010-06,25,Thu,False
2010-06-25,2010,Q2,6,Jun,2010-06,25,Fri,False
2010-06-26,2010,Q2,6,Jun,2010-06,25,Sat,True
2010-06-27,2010,Q2,6,Jun,2010-06,25,Sun,True
2010-06-28,2010,Q2,6,Jun,2010-06,26,Mon,False
2010-06-29,2010,Q2,6,Jun,2010-06,26,Tue,False
2010-06-30,2010,Q2,6,Jun,2010-06,26,Wed,False
2010-07-01,2010,Q3,7,Jul,2010-07,26,Thu,False
2010-07-02,2010,Q3,7,Jul,2010-07,26,Fri,False
2010-07-03,2010,Q3,7,Jul,2010-07,26,Sat,True
2010-07-04,2010,Q3,7,Jul,2010-07,26,Sun,True
2010-07-05,2010,Q3,7,Jul,2010-07,27,Mon,False
2010-07-06,2010,Q3,7,Jul,2010-07,27,Tue,False
2010-07-07,2010,Q3,7,Jul,2010-07,27,Wed,False
2010-07-08,2010,Q3,7,Jul,2010-07,27,Thu,False
2010-07-09,2010,Q3,7,Jul,2010-07,27,Fri,False
2010-07-10,2010,Q3,7,Jul,2010-07,27,Sat,True
